"ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
11,11,"MixedIntSlope","Site","CanopyDiameter.m, WoodDensity.g.cm3",2,"11.MixedIntSlope_Site",1.9191,1.97665,1.14699,NA,NA,1.00077,1.00077,NA,NA,0.736420384853421,0.0109459168725588,NA,NA,1.00077
12,12,"MixedIntSlope","Species&Site","DBH.cm, Height.m, CanopyDiameter.m",3,"12.MixedIntSlope_Species&Site",-1.79735,1.75285,0.47476,0.37026,NA,1.18927,1.05545,1.13084,NA,0.802611356003265,0.247645072483141,0.181625159396242,NA,1.18927
12,12,"MixedIntSlope","Species","DBH.cm, Height.m, CanopyDiameter.m",3,"12.MixedIntSlope_Species",-1.34282,1.6365,0.36285,0.46399,NA,1.30811,1.05209,1.2724,NA,0.714166511380092,0.197232757600324,0.119366054988426,NA,1.30811
12,12,"MixedIntSlope","Site","DBH.cm, Height.m, CanopyDiameter.m",3,"12.MixedIntSlope_Site",-1.77958,1.63565,0.5451,0.47428,NA,1.26743,1.06294,1.20346,NA,0.726148358118779,0.245267225681481,0.214281482361103,NA,1.26743
13,13,"MixedInt","Species&Site","DBH.cm, Height.m, WoodDensity.g.cm3",3,"13.MixedInt_Species&Site",-0.91882,1.97755,0.48699,3.06559,NA,1.96414,1.95967,1.00403,NA,0.903149514801813,0.275736789275879,0.19896482199911,NA,1.96414
13,13,"MixedIntSlope","Species&Site","DBH.cm, Height.m, WoodDensity.g.cm3",3,"13.MixedIntSlope_Species&Site",-0.82398,2.08217,0.39162,3.23473,NA,1.03785,1.03656,1.00385,NA,0.932495354829006,0.361594036068335,0.176703331004732,NA,1.03785
13,13,"MixedIntSlope","Species","DBH.cm, Height.m, WoodDensity.g.cm3",3,"13.MixedIntSlope_Species",-0.39623,2.05272,0.24443,3.35946,NA,1.01889,1.02037,1.00147,NA,0.895046762187146,0.279567184506205,0.0504328828141386,NA,1.02037
13,13,"MixedIntSlope","Site","DBH.cm, Height.m, WoodDensity.g.cm3",3,"13.MixedIntSlope_Site",-0.95309,2.0557,0.43571,2.98753,NA,1.03989,1.03724,1.00359,NA,0.916256975029003,0.28191364994165,0.177549628160999,NA,1.03989
14,14,"MixedInt","Species&Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedInt_Species&Site",-0.40233,1.81168,0.4651,1.94905,NA,2.76246,2.86642,1.10933,NA,0.810178689983164,0.20017462488665,0.129943240646268,NA,2.86642
14,14,"MixedIntSlope","Species&Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedIntSlope_Species&Site",-0.40009,1.9032,0.35741,2.15395,NA,1.16311,1.20546,1.04667,NA,0.854227773994885,0.184956175076239,0.155310449408269,NA,1.20546
14,14,"MixedIntSlope","Species","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedIntSlope_Species",-0.45996,1.8538,0.37285,1.52002,NA,1.44244,1.51198,1.09137,NA,0.781045924174694,0.1137757240456,0.0676050961275506,NA,1.51198
14,14,"MixedIntSlope","Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedIntSlope_Site",-0.44948,1.9142,0.34032,2.01682,NA,1.21352,1.3024,1.08729,NA,0.836906944677041,0.146919783071198,0.126111280747589,NA,1.3024
15,15,"MixedInt","Species&Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedInt_Species&Site",-1.18384,1.62356,1.45123,0.41189,NA,1.34492,1.40322,1.0623,NA,0.691102195571752,0.576767713278049,0.00239732739091077,NA,1.40322
15,15,"MixedIntSlope","Species&Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedIntSlope_Species&Site",-1.49416,1.85099,1.41007,1.12446,NA,1.05059,1.0542,1.00649,NA,0.696627006051973,0.658196229201323,0.0190983184348216,NA,1.0542
15,15,"MixedInt","Species","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedInt_Species",-0.74369,1.34956,1.55106,0.24948,NA,1.14378,1.22131,1.07757,NA,0.717768152606949,0.483736193552593,0.000876540825832148,NA,1.22131
15,15,"MixedIntSlope","Species","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedIntSlope_Species",-0.84796,1.35886,1.58496,0.19166,NA,1.04974,1.06469,1.03042,NA,0.729165705813374,0.490598506081527,0.000524630656347217,NA,1.06469
15,15,"MixedInt","Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedInt_Site",-1.18384,1.62356,1.45123,0.41189,NA,1.34492,1.40322,1.0623,NA,0.68916408616715,0.574553722603964,0.0023757480514226,NA,1.40322
15,15,"MixedIntSlope","Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedIntSlope_Site",-1.65258,1.8771,1.37157,0.66432,NA,1.08848,1.11586,1.02977,NA,0.682907775485931,0.662515834770254,0.00669140016317944,NA,1.11586
16,16,"MixedInt","Species&Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedInt_Species&Site",-0.96456,1.59213,0.49652,0.48683,1.93119,4.2076,2.18009,2.90005,1.10914,0.733249869351128,0.234709419432156,0.227571723237319,0.142653718706391,4.2076
16,16,"MixedIntSlope","Species&Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedIntSlope_Species&Site",-1.23367,1.59387,0.58584,0.47403,1.7922,1.81462,1.14518,1.71511,1.06388,0.752057139129224,0.319774987455334,0.235215798211423,0.136278596724768,1.81462
16,16,"MixedInt","Species","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedInt_Species",-0.92773,1.48186,0.56044,0.50553,1.63719,4.17524,1.8063,2.9818,1.01454,0.675669127493866,0.254755852692353,0.217489695784808,0.0947124260121755,4.17524
16,16,"MixedIntSlope","Species","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedIntSlope_Species",-0.73645,1.6565,0.34565,0.44643,1.73336,1.30673,1.0498,1.32788,1.05168,0.711501945274873,0.170360013374426,0.109677359945746,0.0999923742109229,1.32788
16,16,"MixedIntSlope","Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedIntSlope_Site",-1.07962,1.78979,0.45378,0.3388,2.0669,1.23057,1.06542,1.24726,1.08728,0.792054156526646,0.219287527223372,0.172864321663409,0.135297131394723,1.24726
