"","Model","RMSE_log","RMSE_log_scaled","RMSE_lin_bias","RMSE_lin_bask","RMSE_lin_bias_scaled","RMSE_lin_bask_scaled","meanAGB","RRMSE_lin_bask_scaled"
"93","14.MixedInt_Species&Site",0.379550805836053,0.379550805835798,32.1807395794169,33.8033345192342,32.1807395791477,33.8033345189439,60.2396355096165,56.1147726625066
"94","14.MixedIntSlope_Species&Site",0.641348883591775,0.293505460721401,68.4678415707045,72.7055684788091,23.913116073311,23.6173439082716,60.2396355096165,39.2056553936176
"95","14.MixedInt_Species",0.410043199634782,0.410043199634532,47.8254424244062,50.4280929141347,47.8254424241611,50.42809291379,60.2396355096165,83.7124801423139
"96","14.MixedIntSlope_Species",0.483857426356625,0.396818574079052,57.2196104116565,62.5566048686612,47.5707588147026,46.466293839527,60.2396355096165,77.1357486585543
"97","14.MixedInt_Site",0.380520723172596,0.380520723172555,31.5582660220086,33.398004395597,31.5582660219261,33.398004395515,60.2396355096165,55.4419098206254
"98","14.MixedIntSlope_Site",1.18618665512714,0.305934690334044,185.064687623394,194.523434080329,21.8942973812249,21.5268762071858,60.2396355096165,35.7354024888635
"99","15.Fixed",0.64074148835463,0.64074148835463,56.0590900203549,49.3358150698838,56.0590900203549,49.3358150698839,37.6207445358899,131.139922078942
"100","15.MixedInt_Species&Site",0.604069021741132,0.604069021754973,55.698226745213,50.7580169701669,55.6982267408889,50.7580169649032,37.6207445358899,134.920288237466
"101","15.MixedIntSlope_Species&Site",0.892325155998612,0.656555608592236,134.844627270552,159.633212893401,56.8225577571401,64.8440483637817,37.6207445358899,172.362480231939
"102","15.MixedInt_Species",0.64074148835463,0.64074148835463,56.0590900203546,49.3829906451936,56.0590900203548,49.3829906451939,37.6207445358899,131.265319850549
"103","15.MixedIntSlope_Species",0.763715919995077,0.617141548982211,50.9804641292777,54.0165151932142,54.097559182249,47.8191609795152,37.6207445358899,127.108491789406
"104","15.MixedInt_Site",0.605760877192384,0.605760876453773,55.2714047140923,50.2055397633034,55.2714047935953,50.2055400383759,37.6207445358899,133.451744928865
"105","15.MixedIntSlope_Site",1.65287561901662,0.996914792763996,119.465894472676,132.680116301487,74.0666387919545,74.8153932418788,37.6207445358899,198.867391288616
"106","16.Fixed",0.345134504392745,0.345134504392745,36.1718828801379,34.6090786405002,36.1718828801378,34.6090786405001,60.2396355096165,57.4523373983151
"107","16.MixedInt_Species&Site",0.331194048525667,0.33119404852558,38.4711155705965,36.9937861959716,38.4711155706624,36.9937861960401,60.2396355096165,61.411039232026
"108","16.MixedIntSlope_Species&Site",1.01125996518958,0.517956636530576,130.931568277395,135.739516653604,62.7911402655727,62.3021285600289,60.2396355096165,103.423813960633
"109","16.MixedInt_Species",0.345134504392745,0.345134504392745,36.1718828801381,34.623854772405,36.1718828801378,34.6238547724049,60.2396355096165,57.4768663181529
"110","16.MixedIntSlope_Species",0.379228481749685,0.341805772444056,48.9732848592483,47.0345209324089,42.1763763473337,40.0219306791157,60.2396355096165,66.4378699182644
"111","16.MixedInt_Site",0.331194049426121,0.331194049425989,38.4711148848435,36.9937854708426,38.4711148849441,36.9937854709471,60.2396355096165,61.4110380283452
"112","16.MixedIntSlope_Site",1.02219443260488,0.433009049948119,285.570920098317,296.600656442509,66.7151816552561,67.6501343975847,60.2396355096165,112.301699413147
